"","date","flag"
"1",2017-01-01,0
"2",2017-01-02,0
"3",2017-01-03,0
"4",2017-01-04,0
"5",2017-01-05,0
"6",2017-01-06,0
"7",2017-01-07,0
"8",2017-01-08,0
"9",2017-01-09,0
"10",2017-01-10,0
"11",2017-01-11,0
"12",2017-01-12,0
"13",2017-01-13,0
"14",2017-01-14,0
"15",2017-01-15,0
"16",2017-01-16,0
"17",2017-01-17,0
"18",2017-01-18,0
"19",2017-01-19,0
"20",2017-01-20,0
"21",2017-01-21,0
"22",2017-01-22,0
"23",2017-01-23,0
"24",2017-01-24,0
"25",2017-01-25,0
"26",2017-01-26,0
"27",2017-01-27,0
"28",2017-01-28,0
"29",2017-01-29,0
"30",2017-01-30,1
"31",2017-01-31,0
"32",2017-02-01,0
"33",2017-02-02,0
"34",2017-02-03,0
"35",2017-02-04,0
"36",2017-02-05,0
"37",2017-02-06,0
"38",2017-02-07,0
"39",2017-02-08,0
"40",2017-02-09,0
"41",2017-02-10,0
"42",2017-02-11,0
"43",2017-02-12,0
"44",2017-02-13,0
"45",2017-02-14,0
"46",2017-02-15,0
"47",2017-02-16,0
"48",2017-02-17,0
"49",2017-02-18,0
"50",2017-02-19,0
"51",2017-02-20,0
"52",2017-02-21,0
"53",2017-02-22,0
"54",2017-02-23,0
"55",2017-02-24,0
"56",2017-02-25,0
"57",2017-02-26,0
"58",2017-02-27,1
"59",2017-02-28,0
"60",2017-03-01,0
"61",2017-03-02,0
"62",2017-03-03,0
"63",2017-03-04,0
"64",2017-03-05,0
"65",2017-03-06,0
"66",2017-03-07,0
"67",2017-03-08,0
"68",2017-03-09,0
"69",2017-03-10,0
"70",2017-03-11,0
"71",2017-03-12,0
"72",2017-03-13,0
"73",2017-03-14,0
"74",2017-03-15,0
"75",2017-03-16,0
"76",2017-03-17,0
"77",2017-03-18,0
"78",2017-03-19,0
"79",2017-03-20,0
"80",2017-03-21,0
"81",2017-03-22,0
"82",2017-03-23,0
"83",2017-03-24,0
"84",2017-03-25,0
"85",2017-03-26,0
"86",2017-03-27,0
"87",2017-03-28,0
"88",2017-03-29,0
"89",2017-03-30,1
"90",2017-03-31,0
"91",2017-04-01,0
"92",2017-04-02,0
"93",2017-04-03,0
"94",2017-04-04,0
"95",2017-04-05,0
"96",2017-04-06,0
"97",2017-04-07,0
"98",2017-04-08,0
"99",2017-04-09,0
"100",2017-04-10,0
"101",2017-04-11,0
"102",2017-04-12,0
"103",2017-04-13,0
"104",2017-04-14,0
"105",2017-04-15,0
"106",2017-04-16,0
"107",2017-04-17,0
"108",2017-04-18,0
"109",2017-04-19,0
"110",2017-04-20,0
"111",2017-04-21,0
"112",2017-04-22,0
"113",2017-04-23,0
"114",2017-04-24,0
"115",2017-04-25,0
"116",2017-04-26,0
"117",2017-04-27,1
"118",2017-04-28,0
"119",2017-04-29,0
"120",2017-04-30,0
"121",2017-05-01,0
"122",2017-05-02,0
"123",2017-05-03,0
"124",2017-05-04,0
"125",2017-05-05,0
"126",2017-05-06,0
"127",2017-05-07,0
"128",2017-05-08,0
"129",2017-05-09,0
"130",2017-05-10,0
"131",2017-05-11,0
"132",2017-05-12,0
"133",2017-05-13,0
"134",2017-05-14,0
"135",2017-05-15,0
"136",2017-05-16,0
"137",2017-05-17,0
"138",2017-05-18,0
"139",2017-05-19,0
"140",2017-05-20,0
"141",2017-05-21,0
"142",2017-05-22,0
"143",2017-05-23,0
"144",2017-05-24,0
"145",2017-05-25,0
"146",2017-05-26,0
"147",2017-05-27,0
"148",2017-05-28,0
"149",2017-05-29,0
"150",2017-05-30,1
"151",2017-05-31,0
"152",2017-06-01,0
"153",2017-06-02,0
"154",2017-06-03,0
"155",2017-06-04,0
"156",2017-06-05,0
"157",2017-06-06,0
"158",2017-06-07,0
"159",2017-06-08,0
"160",2017-06-09,0
"161",2017-06-10,0
"162",2017-06-11,0
"163",2017-06-12,0
"164",2017-06-13,0
"165",2017-06-14,0
"166",2017-06-15,0
"167",2017-06-16,0
"168",2017-06-17,0
"169",2017-06-18,0
"170",2017-06-19,0
"171",2017-06-20,0
"172",2017-06-21,0
"173",2017-06-22,0
"174",2017-06-23,0
"175",2017-06-24,0
"176",2017-06-25,0
"177",2017-06-26,0
"178",2017-06-27,0
"179",2017-06-28,0
"180",2017-06-29,1
"181",2017-06-30,0
"182",2017-07-01,0
"183",2017-07-02,0
"184",2017-07-03,0
"185",2017-07-04,0
"186",2017-07-05,0
"187",2017-07-06,0
"188",2017-07-07,0
"189",2017-07-08,0
"190",2017-07-09,0
"191",2017-07-10,0
"192",2017-07-11,0
"193",2017-07-12,0
"194",2017-07-13,0
"195",2017-07-14,0
"196",2017-07-15,0
"197",2017-07-16,0
"198",2017-07-17,0
"199",2017-07-18,0
"200",2017-07-19,0
"201",2017-07-20,0
"202",2017-07-21,0
"203",2017-07-22,0
"204",2017-07-23,0
"205",2017-07-24,0
"206",2017-07-25,0
"207",2017-07-26,0
"208",2017-07-27,0
"209",2017-07-28,1
"210",2017-07-29,0
"211",2017-07-30,0
"212",2017-07-31,0
"213",2017-08-01,0
"214",2017-08-02,0
"215",2017-08-03,0
"216",2017-08-04,0
"217",2017-08-05,0
"218",2017-08-06,0
"219",2017-08-07,0
"220",2017-08-08,0
"221",2017-08-09,0
"222",2017-08-10,0
"223",2017-08-11,0
"224",2017-08-12,0
"225",2017-08-13,0
"226",2017-08-14,0
"227",2017-08-15,0
"228",2017-08-16,0
"229",2017-08-17,0
"230",2017-08-18,0
"231",2017-08-19,0
"232",2017-08-20,0
"233",2017-08-21,0
"234",2017-08-22,0
"235",2017-08-23,0
"236",2017-08-24,0
"237",2017-08-25,0
"238",2017-08-26,0
"239",2017-08-27,0
"240",2017-08-28,0
"241",2017-08-29,0
"242",2017-08-30,1
"243",2017-08-31,0
"244",2017-09-01,0
"245",2017-09-02,0
"246",2017-09-03,0
"247",2017-09-04,0
"248",2017-09-05,0
"249",2017-09-06,0
"250",2017-09-07,0
"251",2017-09-08,0
"252",2017-09-09,0
"253",2017-09-10,0
"254",2017-09-11,0
"255",2017-09-12,0
"256",2017-09-13,0
"257",2017-09-14,0
"258",2017-09-15,0
"259",2017-09-16,0
"260",2017-09-17,0
"261",2017-09-18,0
"262",2017-09-19,0
"263",2017-09-20,0
"264",2017-09-21,0
"265",2017-09-22,0
"266",2017-09-23,0
"267",2017-09-24,0
"268",2017-09-25,0
"269",2017-09-26,0
"270",2017-09-27,0
"271",2017-09-28,1
"272",2017-09-29,0
"273",2017-09-30,0
"274",2017-10-01,0
"275",2017-10-02,0
"276",2017-10-03,0
"277",2017-10-04,0
"278",2017-10-05,0
"279",2017-10-06,0
"280",2017-10-07,0
"281",2017-10-08,0
"282",2017-10-09,0
"283",2017-10-10,0
"284",2017-10-11,0
"285",2017-10-12,0
"286",2017-10-13,0
"287",2017-10-14,0
"288",2017-10-15,0
"289",2017-10-16,0
"290",2017-10-17,0
"291",2017-10-18,0
"292",2017-10-19,0
"293",2017-10-20,0
"294",2017-10-21,0
"295",2017-10-22,0
"296",2017-10-23,0
"297",2017-10-24,0
"298",2017-10-25,0
"299",2017-10-26,0
"300",2017-10-27,0
"301",2017-10-28,0
"302",2017-10-29,0
"303",2017-10-30,1
"304",2017-10-31,0
"305",2017-11-01,0
"306",2017-11-02,0
"307",2017-11-03,0
"308",2017-11-04,0
"309",2017-11-05,0
"310",2017-11-06,0
"311",2017-11-07,0
"312",2017-11-08,0
"313",2017-11-09,0
"314",2017-11-10,0
"315",2017-11-11,0
"316",2017-11-12,0
"317",2017-11-13,0
"318",2017-11-14,0
"319",2017-11-15,0
"320",2017-11-16,0
"321",2017-11-17,0
"322",2017-11-18,0
"323",2017-11-19,0
"324",2017-11-20,0
"325",2017-11-21,0
"326",2017-11-22,0
"327",2017-11-23,0
"328",2017-11-24,0
"329",2017-11-25,0
"330",2017-11-26,0
"331",2017-11-27,0
"332",2017-11-28,0
"333",2017-11-29,1
"334",2017-11-30,0
"335",2017-12-01,0
"336",2017-12-02,0
"337",2017-12-03,0
"338",2017-12-04,0
"339",2017-12-05,0
"340",2017-12-06,0
"341",2017-12-07,0
"342",2017-12-08,0
"343",2017-12-09,0
"344",2017-12-10,0
"345",2017-12-11,0
"346",2017-12-12,0
"347",2017-12-13,0
"348",2017-12-14,0
"349",2017-12-15,0
"350",2017-12-16,0
"351",2017-12-17,0
"352",2017-12-18,0
"353",2017-12-19,0
"354",2017-12-20,0
"355",2017-12-21,0
"356",2017-12-22,0
"357",2017-12-23,0
"358",2017-12-24,0
"359",2017-12-25,0
"360",2017-12-26,0
"361",2017-12-27,0
"362",2017-12-28,1
"363",2017-12-29,0
"364",2017-12-30,0
"365",2017-12-31,0
"366",2018-01-01,0
"367",2018-01-02,0
"368",2018-01-03,0
"369",2018-01-04,0
"370",2018-01-05,0
"371",2018-01-06,0
"372",2018-01-07,0
"373",2018-01-08,0
"374",2018-01-09,0
"375",2018-01-10,0
"376",2018-01-11,0
"377",2018-01-12,0
"378",2018-01-13,0
"379",2018-01-14,0
"380",2018-01-15,0
"381",2018-01-16,0
"382",2018-01-17,0
"383",2018-01-18,0
"384",2018-01-19,0
"385",2018-01-20,0
"386",2018-01-21,0
"387",2018-01-22,0
"388",2018-01-23,0
"389",2018-01-24,0
"390",2018-01-25,0
"391",2018-01-26,0
"392",2018-01-27,0
"393",2018-01-28,0
"394",2018-01-29,0
"395",2018-01-30,1
"396",2018-01-31,0
"397",2018-02-01,0
"398",2018-02-02,0
"399",2018-02-03,0
"400",2018-02-04,0
"401",2018-02-05,0
"402",2018-02-06,0
"403",2018-02-07,0
"404",2018-02-08,0
"405",2018-02-09,0
"406",2018-02-10,0
"407",2018-02-11,0
"408",2018-02-12,0
"409",2018-02-13,0
"410",2018-02-14,0
"411",2018-02-15,0
"412",2018-02-16,0
"413",2018-02-17,0
"414",2018-02-18,0
"415",2018-02-19,0
"416",2018-02-20,0
"417",2018-02-21,0
"418",2018-02-22,0
"419",2018-02-23,0
"420",2018-02-24,0
"421",2018-02-25,0
"422",2018-02-26,0
"423",2018-02-27,1
"424",2018-02-28,0
